19-04-2019,20-04-2019,DoubleTree by Hilton Metropolitan - New York City,$279,4.0/5,"10,626"
19-04-2019,20-04-2019,Carnegie Hotel,$296,4.6/5,779
19-04-2019,20-04-2019,The Belvedere Hotel,$215,4.2/5,"21,121"
19-04-2019,20-04-2019,Grand Hyatt New York,$319,4.1/5,"10,684"
19-04-2019,20-04-2019,The Benjamin,$313,4.4/5,"1,783"
19-04-2019,20-04-2019,Paramount Times Square,$239,3.5/5,"13,261"
19-04-2019,20-04-2019,The Roger Smith Hotel,$309,4.1/5,"2,192"
19-04-2019,20-04-2019,Sanctuary Hotel New York,$319,4.4/5,"1,096"
19-04-2019,20-04-2019,The Roger,$249,4.3/5,902
19-04-2019,20-04-2019,The Jewel facing Rockefeller Center,$299,4.5/5,"5,457"
19-04-2019,20-04-2019,The Moderne,$215,4.2/5,"1,546"
19-04-2019,20-04-2019,West Side YMCA,$175,3.3/5,"1,915"
19-04-2019,20-04-2019,Pod 39,$219,4.2/5,"11,278"
19-04-2019,20-04-2019,EVEN Hotel New York- Midtown East,$305,4.5/5,963
19-04-2019,20-04-2019,Royalton Park Avenue,$305,4.3/5,"1,045"
19-04-2019,20-04-2019,Royalton Hotel,$289,4.2/5,"2,063"
19-04-2019,20-04-2019,6 Columbus Central Park a Sixty Hotel,$311,3.7/5,503
19-04-2019,20-04-2019,Ameritania at Times Square,$251,4.0/5,"4,566"
19-04-2019,20-04-2019,Park Terrace Hotel on Bryant Park,$375,4.7/5,180
19-04-2019,20-04-2019,The Knickerbocker Hotel,$316,4.6/5,"1,672"
19-04-2019,20-04-2019,Flatiron Hotel,$199,3.7/5,"1,218"
19-04-2019,20-04-2019,Hampton Inn Manhattan Grand Central,$249,4.3/5,"1,608"
19-04-2019,20-04-2019,Hotel 31,$218,4.0/5,"2,258"
19-04-2019,20-04-2019,"The Pierre, A Taj Hotel, New York",$665,4.7/5,949
19-04-2019,20-04-2019,City Club Hotel,$259,4.3/5,"2,379"
19-04-2019,20-04-2019,The Marmara Park Avenue,$336,4.4/5,427
19-04-2019,20-04-2019,Gramercy Park Hotel,$360,4.3/5,912
19-04-2019,20-04-2019,Millennium Hilton New York One UN Plaza,$249,4.0/5,"2,360"
19-04-2019,20-04-2019,Freehand New York,$269,4.4/5,537
19-04-2019,20-04-2019,Wolcott Hotel,$260,3.9/5,"1,226"
19-04-2019,20-04-2019,Hotel Mela Times Square,$219,4.0/5,"4,595"
19-04-2019,20-04-2019,The Lex NYC,$229,4.4/5,860
19-04-2019,20-04-2019,Hilton Garden Inn New York/Manhattan-Midtown East,$319,4.2/5,"1,540"
19-04-2019,20-04-2019,"The Langham, New York, Fifth Avenue",$575,4.7/5,"1,381"
19-04-2019,20-04-2019,The Watson Hotel,$257,3.9/5,"4,016"
19-04-2019,20-04-2019,Four Seasons Hotel New York,"$1,195",4.6/5,63
19-04-2019,20-04-2019,Park South Hotel,$269,4.6/5,718
19-04-2019,20-04-2019,The Kimberly Hotel,$389,4.6/5,"2,462"
19-04-2019,20-04-2019,The Bryant Park Hotel,$345,4.6/5,"1,833"
19-04-2019,20-04-2019,The Lombardy Hotel,$429,4.3/5,997
19-04-2019,20-04-2019,Omni Berkshire Place,$339,4.5/5,"3,802"
19-04-2019,20-04-2019,Residence Inn New York The Bronx At Metro Center Atrium,$249,4.7/5,325
19-04-2019,20-04-2019,The Redbury New York,$259,4.0/5,729
19-04-2019,20-04-2019,Row NYC,$259,3.6/5,"13,002"
19-04-2019,20-04-2019,GWB Hotel,$300,3.1/5,44
19-04-2019,20-04-2019,citizenM New York Bowery,$215,4.7/5,585
19-04-2019,20-04-2019,Hotel Metro,$219,4.3/5,"3,841"
19-04-2019,20-04-2019,Americana Inn,$199,3.2/5,"2,324"
19-04-2019,20-04-2019,The William,$425,4.4/5,13
19-04-2019,20-04-2019,InterContinental - New York Times Square,$330,4.3/5,"2,504"
19-04-2019,20-04-2019,Umbrella Hotel Kew Gardens,$159,2.8/5,51
19-04-2019,20-04-2019,Chelsea Inn,$207,3.7/5,534
19-04-2019,20-04-2019,Hotel Sofitel New York,$279,4.6/5,"4,995"
19-04-2019,20-04-2019,Flushing Hotel,$719,2.7/5,563
19-04-2019,20-04-2019,Park Hyatt New York,$895,4.5/5,142
19-04-2019,20-04-2019,The NoMad Hotel,$332,4.7/5,513
19-04-2019,20-04-2019,The Plaza Hotel,$825,4.5/5,894
19-04-2019,20-04-2019,Andaz 5th Avenue - a concept by Hyatt,$375,4.7/5,946
19-04-2019,20-04-2019,Amsterdam Court Hotel,$287,3.4/5,"2,507"
19-04-2019,20-04-2019,Hotel 32 32,$220,4.1/5,"2,098"
19-04-2019,20-04-2019,Best Western Queens Gold Coast,$251,3.8/5,600
19-04-2019,20-04-2019,Hyatt Centric Times Square New York,$324,4.6/5,"4,880"
19-04-2019,20-04-2019,"The Renwick Hotel New York City, Curio Collection by Hilton",$299,4.4/5,917
19-04-2019,20-04-2019,The Peninsula New York,$995,4.8/5,"1,335"
