19-04-2019,20-04-2019,Hampton Inn Manhattan Chelsea,859,8.6/10,829
19-04-2019,20-04-2019,LUMA Hotel - Times Square,"1,653",9.2/10,"3,207"
19-04-2019,20-04-2019,"The Pierre, A Taj Hotel, New York","2,390",8.9/10,405
19-04-2019,20-04-2019,SIXTY SoHo,"1,024",8.7/10,897
19-04-2019,20-04-2019,Club Quarters Hotel World Trade Center,883,8.6/10,"1,300"
19-04-2019,20-04-2019,Freehand New York,967,8.8/10,"1,112"
19-04-2019,20-04-2019,Hyatt Centric Times Square New York,"1,164",8.7/10,"4,262"
19-04-2019,20-04-2019,Hampton Inn Times Square Central,895,8.9/10,"2,245"
19-04-2019,20-04-2019,Park Terrace Hotel on Bryant Park,"1,348",9.0/10,83
19-04-2019,20-04-2019,Holiday Inn Express - Times Square,809,7.8/10,"2,199"
19-04-2019,20-04-2019,Pod Times Square,643,8.6/10,"10,743"
19-04-2019,20-04-2019,Fairfield Inn & Suites by Marriott New York Manhattan/Chelsea,823,8.3/10,993
19-04-2019,20-04-2019,The Time New York,967,8.2/10,"1,960"
19-04-2019,20-04-2019,Gramercy Park Hotel,"1,294",8.4/10,330
19-04-2019,20-04-2019,Mondrian Park Avenue,"1,024",8.4/10,516
19-04-2019,20-04-2019,The Iroquois New York,"1,254",8.9/10,610
19-04-2019,20-04-2019,Mr C Seaport,"1,060",8.8/10,89
19-04-2019,20-04-2019,Moxy NYC Chelsea,895,8.9/10,57
19-04-2019,20-04-2019,SoHo Garden Hotel,931,7.8/10,"1,860"
19-04-2019,20-04-2019,Holiday Inn Wall Street,715,8.1/10,498
19-04-2019,20-04-2019,Sanctuary Hotel New York,"1,145",8.4/10,"1,176"
19-04-2019,20-04-2019,Parker New York,"1,147",7.8/10,580
19-04-2019,20-04-2019,3 West Club,931,8.3/10,399
19-04-2019,20-04-2019,Hilton Garden Inn New York Manhattan Midtown East,"1,032",8.5/10,943
19-04-2019,20-04-2019,Viceroy Central Park New York,967,7.8/10,978
19-04-2019,20-04-2019,Hotel 31,823,8.1/10,"2,457"
19-04-2019,20-04-2019,NoMo SoHo,844,8.2/10,"1,849"
19-04-2019,20-04-2019,Hotel Metro,985,8.4/10,786
19-04-2019,20-04-2019,"The Ritz-Carlton New York, Central Park","3,217",8.8/10,121
19-04-2019,20-04-2019,Hotel Elysee by Library Hotel Collection,"1,226",9.1/10,549
19-04-2019,20-04-2019,Hotel Wolcott,934,8.0/10,"1,370"
19-04-2019,20-04-2019,Holiday Inn Express - Wall Street,751,8.1/10,718
19-04-2019,20-04-2019,"The Algonquin Hotel Times Square, Autograph Collection","1,075",8.7/10,132
19-04-2019,20-04-2019,The Whitby Hotel,"2,498",9.5/10,289
19-04-2019,20-04-2019,Hampton Inn Seaport Financial District,700,8.2/10,404
19-04-2019,20-04-2019,The Franklin Hotel,"1,006",7.0/10,773
19-04-2019,20-04-2019,The Maritime Hotel,"1,146",8.9/10,604
19-04-2019,20-04-2019,Wyndham Garden Chinatown,796,8.1/10,373
19-04-2019,20-04-2019,"6 Columbus, Central Park a Sixty Hotel","1,118",7.7/10,330
19-04-2019,20-04-2019,Lex Hotel NYC,823,8.7/10,281
19-04-2019,20-04-2019,"The Renwick Hotel New York City, Curio Collection by Hilton","1,075",8.6/10,520
19-04-2019,20-04-2019,The William,"1,531",8.8/10,608
19-04-2019,20-04-2019,The Tuscany - A St Giles Signature Hotel,936,8.8/10,494
19-04-2019,20-04-2019,Hudson River Hotel,733,7.1/10,"1,487"
19-04-2019,20-04-2019,Sister City New York,860,8.7/10,11
19-04-2019,20-04-2019,Fitzpatrick Grand Central,712,9.0/10,607
19-04-2019,20-04-2019,Courtyard by Marriott New York Manhattan / Soho,"1,075",8.7/10,154
19-04-2019,20-04-2019,Econo Lodge Times Square,931,7.3/10,671
19-04-2019,20-04-2019,Row NYC at Times Square,931,7.2/10,"11,391"
19-04-2019,20-04-2019,New York Marriott East Side,"1,793",7.7/10,229
19-04-2019,20-04-2019,"Nyma, The New York Manhattan Hotel",823,7.5/10,"2,532"
19-04-2019,20-04-2019,Redford Hotel,831,6.8/10,350
19-04-2019,20-04-2019,Hilton Club New York,"1,700",8.6/10,22
19-04-2019,20-04-2019,Travel Inn - Midtown Manhattan,755,7.8/10,"1,567"
19-04-2019,20-04-2019,Colonial House Inn,642,8.3/10,435
19-04-2019,20-04-2019,Belnord Hotel,"1,132",8.0/10,"3,847"
19-04-2019,20-04-2019,138 Bowery,761,6.7/10,13
19-04-2019,20-04-2019,The Manhattan at Times Square,825,6.8/10,"6,402"
19-04-2019,20-04-2019,Sonder — Wall Street,999,8.4/10,11
19-04-2019,20-04-2019,Gild Hall - A Thompson Hotel,895,9.0/10,794
19-04-2019,20-04-2019,The Wall Street Inn,773,8.7/10,547
19-04-2019,20-04-2019,The Benjamin,"1,123",8.1/10,636
19-04-2019,20-04-2019,Hotel Giraffe by Library Hotel Collection,"1,420",9.4/10,428
19-04-2019,20-04-2019,"Staypineapple, an Artful Hotel New York","1,111",9.2/10,30
19-04-2019,20-04-2019,AKA Tribeca,"1,100",8.6/10,399
19-04-2019,20-04-2019,Lowell Hotel,"2,372",9.2/10,30
19-04-2019,20-04-2019,The Surrey,"2,426",8.5/10,211
19-04-2019,20-04-2019,WestHouse Hotel New York,880,8.1/10,572
19-04-2019,20-04-2019,Library Hotel by Library Hotel Collection,"1,517",9.3/10,437
19-04-2019,20-04-2019,Incentra Village Hotel,"1,249",8.0/10,152
19-04-2019,20-04-2019,HI NYC Hostel,269,8.4/10,"11,958"
19-04-2019,20-04-2019,The Bowery House,748,6.5/10,"2,480"
20-04-2019,21-04-2019,Hotel Pennsylvania,666,5.5/10,"40,669"
20-04-2019,21-04-2019,Trump International New York,"1,718",8.9/10,886
20-04-2019,21-04-2019,"The Langham, New York, Fifth Avenue","1,826",9.2/10,"1,103"
20-04-2019,21-04-2019,The Peninsula New York,"2,678",8.8/10,287
20-04-2019,21-04-2019,1 Hotel Central Park,"1,507",8.9/10,"1,272"
20-04-2019,21-04-2019,Baccarat Hotel and Residences New York,"3,936",9.3/10,279
20-04-2019,21-04-2019,SIXTY SoHo,"1,168",8.7/10,895
20-04-2019,21-04-2019,Mandarin Oriental New York,"3,936",8.7/10,200
20-04-2019,21-04-2019,Loews Regency New York Hotel,"1,650",8.8/10,474
